time_seconds,note_midi,confidence
50.3757,47,0.81
50.5034,35,0.84
50.5150,35,0.84
50.5266,47,0.87
50.5382,35,0.94
50.5498,35,0.82
50.9098,29,0.81
50.9214,29,0.82
51.1536,29,0.81
51.5135,48,0.80
51.8734,30,0.84
51.8850,30,0.84
51.8966,36,0.80
51.9082,37,0.84
51.9198,37,0.88
51.9314,37,0.89
51.9430,37,0.89
52.0475,31,0.81
52.0591,31,0.80
52.0707,31,0.86
52.0824,31,0.90
52.0940,31,0.86
52.1056,31,0.81
52.1172,31,0.84
52.2333,31,0.83
52.2681,42,0.87
52.3146,31,0.96
52.3262,31,0.96
52.3378,31,0.97
52.3494,31,0.95
52.3610,31,0.93
52.3726,31,0.90
52.3842,31,0.85
52.6629,43,0.81
52.7557,31,0.82
52.7673,31,0.92
52.7790,31,0.95
52.7906,31,0.94
52.8022,31,0.92
52.8254,31,0.87
52.8370,31,0.86
52.8486,31,0.85
52.8718,31,0.88
52.8834,43,0.89
52.8951,44,0.90
52.9067,43,0.89
52.9183,43,0.81
52.9995,31,0.87
53.0112,31,0.89
53.0228,31,0.81
53.0460,31,0.81
53.1969,42,0.82
53.2085,42,0.81
53.2201,43,0.87
53.2317,43,0.92
53.2434,44,0.89
53.2550,44,0.87
53.2666,43,0.91
53.2782,43,0.94
53.2898,43,0.89
53.3014,44,0.86
53.3130,31,0.82
53.3246,42,0.82
53.4175,55,0.88
53.6845,33,0.85
53.6961,33,0.90
53.7078,33,0.84
53.7194,33,0.85
53.7310,33,0.86
53.7426,33,0.82
53.7542,33,0.81
53.7658,33,0.83
53.7774,33,0.86
53.7890,33,0.85
53.8006,33,0.84
53.8122,34,0.82
54.0212,35,0.82
54.1373,36,0.87
54.1489,35,0.85
54.1605,46,0.87
54.1722,48,0.86
54.1838,35,0.92
54.1954,35,0.97
54.2070,35,0.95
54.2186,35,0.90
54.2302,35,0.88
54.2418,35,0.88
54.2534,35,0.89
54.2650,35,0.87
54.2766,36,0.87
54.4392,35,0.80
54.4856,35,0.80
54.4972,36,0.82
54.6249,35,0.84
54.6366,47,0.86
54.6482,35,0.83
54.6598,35,0.87
54.6714,35,0.86
54.6830,35,0.85
